Nr.,Autoriai (vertėjai),Pavadinimas,Serija,Metai,Puslapių sk.,Leidykla,Miestas,ISBN arba metrika,Būklė,Kaina,Įsigyta iš,"Pastabos (žymės, defektai, ir t.t.)"
1,J. Matulionis,Aukštoji matematika 2 dali,,1968,571,Mintis,Kaunas,2-2-3/162-68,Labai gera,"4,00 €",www.sena.lt,
2,P. Rumšas,Trumpas aukštosios matematikos kursas,,1976,560,Mokslas,Vilnius,R20203-141/M854(10)-76-34-75,Puiki (nauja),"5,00 €",www.skelbiu.lt,
3,"B. Godvaiša, J. Šinkūnas",Matematika 1 dalis,,1992,381,Mokslas,Vilnius,5-420-00571-9,Gera,"8,00 €",www.peleduknygos.lt,Kauno Taikomosios Dailės mokyklos bilbiotekos spaudas tituliniame lape. Puslapiai 225-256 psl. apačioje sulieti
4,"B. Godvaiša, J. Šinkūnas",Matematika 2 dalis,,1996,432,Žiburio leidykla,Vilnius,9986-524-07-5,Puiki (nauja),"5,00 €",E. Ridlauskienė,Pasvalio vid. Mokyklos bibliotekos spaudas tituliniame lape
5,"G. Misevičius, A. Pincevičius, R. J. Rakauskas, R. Eidukevičius",Aukštoji matematika,,1999,470,TEV,Vilnius,9986-546-71-0,Puiki (nauja),"7,00 €",www.vinted.lt,Su autorių dedikacija redaktorei Zitai Manstavičienei.
6,"N. Janušauskaitė, R. Markauskas, A. Pekarskienė, V. Sabatauskienė",Tiesinė algebra ir diferencialinis skaičiavimas,,2001,252,Technologija,Kaunas,9986-13-648-2,Puiki (nauja),"3,00 €",,
7,"A. Jokimaitis, R. Regelskienė, J. Rutkauskas, M. Stankevičienė, P. Tvarijonas",Tiesinės algebros ir diferencialinio skaičiavimo praktikumas,,2001,158,Technologija,Kaunas,9986-13-807-8,Puiki (nauja),"2,00 €",,
8,"I. Matiukienė, A. Pekarskienė, V. Sabatauskienė",Tiesinė algebra ir diferencialinis skaičiavimas (uždavinių rinkinys su sprendimais),,2001,248,Technologija,Kaunas,9986-13-809-4,Puiki (nauja),"3,00 €",,
9,"A. Apynis, E. Stankus",Matematika,,2001,358,TEV,Vilnius,9955-491-08-6,Puiki (nauja),,A. Apynio dovana,Su dedikacija
10,D. Švitra,Aukštosios matematikos praktikumas 1 dalis,,2005,196,Spauda,Vilnius,9955-491-91-4,Labai gera,"1,00 €",www.sena.lt,Vos patrinti viršelių raštai
11,D. Švitra,Aukštosios matematikos praktikumas 2 dalis,,2005,196,Spauda,Vilnius,9955-491-92-2,Labai gera,"1,00 €",www.sena.lt,Vos patrinti viršelių raštai
12,A. Kavaliauskas,Aukštosios matematikos uždavinynas,,2008,124,TEV,Vilnius,978-9955-879-26-8,Puiki (nauja),"4,00 €",www.vinted.lt,
13,"S. Janušauskienė, A. Marčiukaitienė, D. Prašmantienė",Tiesinė algebra ir matematinė analizė,,2008,248,Technologija,Kaunas,9986-13-769-1,Puiki (nauja),"3,00 €",,
14,"Z. Furmonavičienė, S. Janušauskienė, A. Marčiukaitienė, D. Prašmantienė",Tiesinė algebra ir matematinė analizė (uždavinių sprendimai),,2008,328,Technologija,Kaunas,9986-13-760-8,Puiki (nauja),"3,00 €",,
15,V. Pekarskas,Trumpas matematikos kursas,,2010,464,Technologija,Kaunas,9955-09-858-9,Puiki (nauja),"3,00 €",www.bookswap.lt,
