Nr.,Autoriai (vertėjai),Pavadinimas,Serija,Metai,Puslapių sk.,Leidykla,Miestas,ISBN arba metrika,Būklė,Kaina,Įsigyta iš,"Pastabos (žymės, defektai, ir t.t.)"
1,A.J. Chinčinas (vert. J. Kubilius),Trumpas matematinės analizės kursas,,1958,580,Valst. Polit. ir moksl. literatūros leidykla,Vilnius,Leid. nr. 4320,Gera,"5,00 €",www.vinted.lt,Vilniaus bibliotekos antspaudas galinio viršelio vidinės pusės apatiniam dešiniam kampe
1,J. Kubilius,Realaus kintamojo funkcijų teorija,,1970,283,Mintis,Vilnius,2-2-3/142-70,Puiki (nauja),"5,00 €",,Austo viršelio kraštai ir nugarėlė nežymiai pablukinta saulės
2,V. Rudinas (vert. E. Misevičius),Matematinės analizės pagrindai,,1978,256,Mokslas,Vilnius,R 20203-056/M854(10)-78 134-78,Puiki (nauja),,V. Mackevičiaus dovana,
3,"V. Iljinas, E. Pozniakas (vert. P. Rumšas ir J. Mačys)",Matematinės analizės pagrindai 1 dalis,,1981,520,Mokslas,Vilnius,I 1702050000-20203-150/M854(08) 140-79,Puiki (nauja),"10,00 €",www.sena.lt,Trintuku pašalintos pieštuko žymės
4,"V. Iljinas, E. Pozniakas (vert. P. Rumšas ir J. Mačys)",Matematinės analizės pagrindai 2 dalis,,1981,404,Mokslas,Vilnius,I 1702050000 20203-127/M854(08)-81 45-80,Puiki (nauja),"10,00 €",www.sena.lt,Trintuku pašalintos pieštuko žymės
5,V. Kabaila,Matematinė analizė 1,,1983,408,Mokslas,Vilnius,1702050000-110/M854(08)-83 45-83,Puiki (nauja),"7,00 €",www.sena.lt,"Puslapiai švarūs, pageltę"
6,V. Kabaila,Matematinė analizė 2,,1986,484,Mokslas,Vilnius,1702050000-138/M854(08)-86 110-86,Puiki (nauja),,V. Mackevičius dovana,"Puslapiai švarūs, pageltę"
7,"A. Nagelė, L. Papreckienė",Kompleksinio kintamojo funkcijų teorija,,1996,432,Žara,Vilnius,9986-34-009-8,Puiki (nauja),"10,00 €",www.vinted.lt,
8,V. Mackevičius,Integralas ir matas,,1998,240,TEV,Vilnius,9986-546-47-8,Puiki (nauja),,V. Mackevičiaus dovana,Su autoriaus dedikacija. Vos matomos gelsvos dėmės pirmuose lapuose.
9,E. Misevičius,Matematinė analizė 1 dalis,,1998,360,TEV,Vilnius,9986-546-35-4,Gera,,V. Mackevičiaus dovana,30 psl. trintuku pašalinti raudonu tušinuku daryti pataisymai
10,E. Misevičius,Matematinė analizė 2 dalis,,2001,256,TEV,Vilnius,9986-19-459-8,Puiki (nauja),"6,00 €",www.sena.lt,
11,V. Pekarskas,Diferencialinis ir integralinis skaičiavimas 1 dalis,,2008,386,Technologija,Kaunas,9986-13-416-1,Puiki (nauja),"8,00 €",www.bookswap.lt,
12,V. Pekarskas,Diferencialinis ir integralinis skaičiavimas 2 dalis,,2003,420,Technologija,Kaunas,9986-13-716-0,Puiki (nauja),"8,00 €",www.bookswap.lt,Priekinis viršelis nežymiai pabraižytas
13,"V. Paulauskas, A. Račkauskas",Funkcinė analizė II knyga. Funkcijos ir lygtys,,2007,200,Vaistų žinos,Vilnius,978-9955-511-77-9,Puiki (nauja),,V. Mackevičiaus dovana,V.M. inicialų žymė priekinio viršelio apatiniame dešiniajame kampe
