Nr.,Egz.,Autoriai (vertėjai),Pavadinimas,Tomas,Serija,Leid.,Metai,Psl.,Leidykla,Miestas,UDK,ISBN,KPŠ,"Defektai, žymės"
1,1,Dž. F. Kuperis,Pėdsekys,,,,1985,270,Šviesa,Kaunas,,,K 4703000000-846/M853(10)-85 R-85,
2,2,Dž. F. Kuperis,Paskutinis mohikanas,,,,1984,224,Šviesa,Kaunas,,,K 4703000000- 802/M853(10)-84,
3,1,Dž. F. Kuperis,Medžiotojas,,,,1986,341,Šviesa,Kaunas,,,K 4703000000-129 / M853(10)-86 5-86,
4,1,T. Main Ridas,Jamaikos maronai,,,,1994,368,Tyrai,Kaunas,,9986-551-00-5,,
5,1,T. Main Ridas,Baltaveidis vadas,,,2,1995,416,Tyrai,Kaunas,820(73)-3,9986-551-01-3,,
6,1,T. Main Ridas,Misisipės piratai (Velnio sala),,,2,1994,108,Lege artis,Vilnius,820-3,9986-473-03-9,,
7,1,J. Svensonas,Jūroje ir salose,,Prano Mašioto knygynėlis,,1976,346,Vaga,Vilnius,,,S 0762-140/M852(10)-76,Atitrūkęs viršelis
8,1,H. Onrudas,Norvegų vaikai,,Prano Mašioto knygynėlis,,1979,338,Vaga,Vilnius,,,N 70802-192/M852(10)-79,
9,1,P. Rozengeris,Alpių kalnuose,,Prano Mašioto knygynėlis,,1977,200,Vaga,Vinius,,,R 70803-174/M852(10)-77 254-77,
10,1,E. Setonas-Tompsonas,Vinipego vilkas,,Prano Mašioto knygynėlis,,1974,352,Vaga,Vilnius,,,S 0763-135/M852(10)-74 242-74,Atitrūkęs viršelis
11,1,H. Velsas,Pirmieji žmonės mėnulyje,,Prano Mašioto knygynėlis,,1970,243,Vaga,Vilnius,,,7-6-3/246-70V,
12,1,D. Mukerdžis,Džiunglėse,,Prano Mašioto knygynėlis,,1971,354,Vaga,Vilnius,,,7-6-3/265-71,
