Nr.,Egz.,Autoriai,Pavadinimas,Miestas,Leidykla,Metai,Psl.,ISBN
1.,1,E.M. Forsteris ir kt.,Fantazijos šalies svečiai,Vilnius,Vaga,1971,292,
2.,1,H. Katneris, Pragaištingas laivas,Vilnius,Vaga,1971,392,
3.,1,S. Žemaitis, Amžinas vėjas,Vilnius,Vaga,1971,290,
4.,1,H. Harisonas, Vikingas Kolumbas,Vilnius,Vaga,1972,255,
5.,1,A. ir B. Strugackiai, Vidurdienis.  XXII amžius,Vilnius,Vaga,1972,320,
6.,1,J. Žulavskis, Penkiese į mėnulį,Vilnius,Vaga,1972,263,
7.,1,A. Beliajevas, Pasaulio valdovas,Vilnius,Vaga,1973,215,
8.,1,M. Keidinas, Kosmoso spąstuose,Vilnius,Vaga,1973,291,
9.,1,S. Komacu, Rytdienos grobikai,Vilnius,Vaga,1973,199,
10.,1,V. Kernbachas, Laivas virš Atlantidos,Vilnius,Vaga,1974,288,
11.,1,A. Klarkas, 2001 metų kosminė odisėja,Vilnius,Vaga,1974,238,
12.,1,V. I. Savčenka, Savęs atradimas,Vilnius,Vaga,1974,286,
13.,1,M. Kraitonas, „Andromedos“ štamas,Vilnius,Vaga,1975,238,
14.,1,S. Pavlovas, Okeanautai.  Visatos palėpė,Vilnius,Vaga,1975,189,
15.,1,Ž. Vernas, 20000 mylių po vandeniu,Vilnius,Vaga,1975,358,
16.,1,K. Čapekas, Krakatitas,Vilnius,Vaga,1976,267,
17.,1,A. Dneprovas, Nemirtingumo formulė,Vilnius,Vaga,1976,216,
18.,1,Dž. Finėjus, Tarp dviejų epochų,Vilnius,Vaga,1976,304,
19.,1,P. Vežinovas, „Ajakso“ žuvimas.  Virš visko,Vilnius,Vaga,1977,246,
20.,1,H. Dž. Velsas, Laiko mašina.  Daktaro Moro sala,Vilnius,Vaga,1977,197,
21.,1,S. Žemaitis, Purpurinė planeta,Vilnius,Vaga,1977,168,
22.,1,S. Lemas, Soliaris,Vilnius,Vaga,1978,182,
23.,1,Dž. Vindemas, Trifidų dienos,Vilnius,Vaga,1978,219,
24.,1,A. Klarkas, Susitikimas su Rama,Vilnius,Vaga,1979,188,
25.,1,E. Manovas, Galaktikos baladė,Vilnius,Vaga,1979,204,
26.,1,A. Kazancevas, Fajetai,Vilnius,Vaga,1980,431,
27.,1,H. Rankas, Galingųjų bejėgiškumas,Vilnius,Vaga,1980,262,
28.,1,K. D. Saimekas, Miestas,Vilnius,Vaga,1980,219,
29.,1,A. Azimovas, Net patys dievai,Vilnius,Vaga,1981,254,
30.,1,"M. Jemcevas, J. Parnovas", Pasaulio dvasia. Blyškiojo Neptūno lygtis,Vilnius,Vaga,1981,208,
31.,1,P. Lorencas, Homunkulai,Vilnius,Vaga,1981,231,
32.,1,R. Bredberis, Pradžios pabaiga,Vilnius,Vaga,1982,240,
33.,1,K. Bulyčiovas, Paskutinis karas,Vilnius,Vaga,1982,271,
34.,1,A. ir B. Strugackiai, Neskirti pasimatymai,Vilnius,Vaga,1983,285,
35.,1,A. Beliajevas, Žmogus amfibija,Vilnius,Vaga,1983,166,
36.,1,Dž. Braneris, Visiškas užtemimas,Vilnius,Vaga,1983,157,
37.,1,R. Merlis, Protingas gyvūnas,Vilnius,Vaga,1984,335,
38.,1,J. Guliakovskis, Miglų sezonas,Vilnius,Vyturys,1985,252,
39.,1, R. Heinleinas, Durys į vasarą,Vilnius,Vaga,1985,181,
40.,1,S. Pavlovas, Mėnulio vaivorykštė: Juodaisiais pėdsakais,Vilnius,Vyturys,1986,283,
41.,1,S. Pavlovas, Mėnulio vaivorykštė: Minkštieji veidrodžiai,Vilnius,Vyturys,1986,307,
42.,1,H. Dž. Velsas, Nematomas žmogus,Vilnius,Vyturys,1986,316,
43.,1,B. Bova, Orų valdovai. Altairo vėjai.,Vilnius,Vyturys,1987,290,
44.,1,A. Nakovskis, Be šešėlio,Vilnius,Vyturys,1987,173,
45.,1,Dž. Braneris, Šachmatų miesto kvadratai,Vilnius,Vyturys,1988,286, ISBN 5-7900-0099-1
46.,1,F. Karsakas, Eldorado liūtai,Vilnius,Vyturys,1988,203, ISBN 5-7900-0102-5
47.,1,V. Nazarovas, Vilčių keliai,Vilnius,Vyturys,1988,214, ISBN 5-7900-0089-4
48.,1,I. Rosochovatskis, Svečias,Vilnius,Vyturys,1988,194, ISBN 5-7900-0258-7
49.,1,M. Gergejus, Penkioliktasis kosmoso dėsnis,Vilnius,Vyturys,1989,217, ISBN 5-7900-146-7
50.,1,A. Lomas, Milžinas virš bedugnės,Vilnius,Vyturys,1989,254, ISBN 5-7900-0506-3
51.,1,V. Obručevas , Sanikovo žemė,Vilnius,Vyturys,1989,267, ISBN 5-7900-0482-2
52.,1,G. Praškevičius, Vilkolakis,Vilnius,Vyturys,1990,243, ISBN 5-7900-0257-2
53.,1,P. Bulis, Beždžionių planeta.  Gerasis Leviatanas,Vilnius,Vyturys,1992,270, ISBN 5-7900-0150-5
